u,i,t
7390,14181,1699018988.0
5933,13753,1676992115.0
2560,4434,1707386796.0
5850,75,1680521604.0
402,4612,1707735895.0
3949,106,1681833718.0
3259,11779,1680104634.0
6051,1721,1712571637.0
3496,7910,1715692293.0
1052,4825,1688489700.0
1058,8766,1690554087.0
6699,14166,1679495128.0
6869,4429,1675964831.0
785,463,1681905351.0
2029,7269,1708024974.0
2254,598,1713284627.0
3568,12334,1678278158.0
4414,8904,1703256332.0
1046,4031,1677594738.0
7305,10490,1711126083.0
1154,476,1707565693.0
1801,11043,1695209883.0
3055,12743,1675953448.0
405,4646,1693328386.0
6150,15013,1713963141.0
3011,10617,1682503670.0
5368,11765,1683044166.0
1934,10436,1684774803.0
1583,388,1680268447.0
6869,14670,1675449406.0
5238,13399,1700473909.0
2767,8996,1676115405.0
5466,1671,1715005894.0
1743,8638,1673875057.0
2460,323,1715091511.0
765,7274,1693233957.0
4134,3396,1680528226.0
3285,13592,1676391656.0
1277,9862,1685968466.0
2427,1971,1692034233.0
1484,980,1676482075.0
2433,6387,1713884716.0
2329,8373,1675417144.0
880,7908,1693219020.0
1583,10167,1675262716.0
210,2795,1703161646.0
7549,1374,1718100594.0
741,4426,1700157522.0
4864,773,1680107704.0
2128,5567,1708528648.0
1825,7731,1679066099.0
3293,13596,1706013393.0
4359,7270,1701437707.0
1819,171,1704732943.0
1239,3153,1708166400.0
700,310,1674994160.0
2254,3709,1715954351.0
7669,11298,1710183167.0
5868,46,1705573434.0
710,2101,1692723836.0
41,814,1706093238.0
4000,5207,1697475423.0
3057,12426,1705066241.0
6067,15052,1692887487.0
546,5757,1681316584.0
1744,10742,1698859441.0
5099,14507,1713282447.0
4040,14065,1703627265.0
2546,12638,1697565633.0
5199,337,1726664081.0
2257,8441,1674817436.0
6142,2086,1682951328.0
2076,4965,1684336715.0
7479,4291,1721229673.0
3514,7101,1709644738.0
3201,13506,1677929787.0
2384,3889,1688736955.0
5039,10715,1713881568.0
2241,3244,1681384980.0
1226,7515,1708342107.0
2413,12435,1706114181.0
308,3731,1685984809.0
5991,8904,1674752610.0
2149,11981,1673608661.0
6860,9117,1688746981.0
2928,13152,1707757737.0
969,8379,1706629861.0
2032,251,1707832565.0
3952,14110,1677862488.0
2145,6563,1702033678.0
2399,983,1710523572.0
3214,6285,1673859458.0
3337,13323,1693240269.0
5298,2741,1716366238.0
132,1887,1702541346.0
730,5978,1688560521.0
4358,1837,1709148919.0
3127,1503,1710243645.0
4840,8069,1683309071.0
5941,11171,1682610445.0
723,1011,1704715895.0
3015,7314,1688056695.0
988,34,1687356647.0
2548,2884,1683035047.0
4872,9255,1679679871.0
6665,11366,1679490740.0
2164,626,1677075166.0
2301,3556,1678280970.0
1971,4251,1708351044.0
915,8081,1694094091.0
2219,12116,1680600872.0
3460,13037,1719838691.0
176,2398,1688139644.0
4436,12014,1692623783.0
929,6813,1681916912.0
2344,8203,1714055782.0
1211,4789,1710407740.0
6949,1898,1688476046.0
3281,729,1683197611.0
798,7484,1712855895.0
6015,14682,1706542446.0
2118,2101,1693044795.0
262,3275,1672934869.0
3150,3019,1678873038.0
5003,8680,1719410474.0
394,4521,1681304304.0
1790,5051,1712316720.0
5618,14162,1684330197.0
5183,8477,1715599428.0
5544,14913,1710935529.0
1258,9785,1700753091.0
1971,3555,1679062735.0
2782,725,1681325839.0
5044,8250,1697104793.0
7404,14337,1711556528.0
1139,7658,1710327016.0
6743,6622,1695395907.0
3200,10894,1698415046.0
2637,12798,1674556370.0
1095,7270,1697635143.0
125,1838,1674228975.0
3474,5745,1687163746.0
1356,8842,1697549589.0
2843,6106,1715964091.0
2826,10702,1677092579.0
47,1033,1685982776.0
1516,10581,1675444985.0
1566,4879,1696268027.0
7767,1540,1721915526.0
308,3602,1675703540.0
3141,12029,1682339174.0
4354,11099,1705253816.0
4929,11849,1687258142.0
3484,8152,1706889592.0
220,2896,1674143595.0
4935,6476,1700222124.0
4354,12756,1692099704.0
2029,320,1686311115.0
262,3361,1714989351.0
1299,1778,1727884389.0
607,6232,1687963122.0
153,1692,1698487633.0
811,3479,1702057334.0
2284,11438,1707841815.0
6892,6791,1675262626.0
3927,9055,1674138450.0
6360,15,1719571647.0
3460,13612,1688295067.0
1715,1154,1677250081.0
111,1719,1701768469.0
7676,2663,1713362671.0
4828,12163,1700730667.0
1720,7864,1677165292.0
572,6007,1712760121.0
7259,2614,1713181049.0
6019,2579,1712164806.0
1239,3356,1686591824.0
1369,10197,1712589946.0
5868,2206,1705057252.0
1623,6689,1705752758.0
4058,14185,1719486127.0
7394,2580,1709381559.0
7438,8466,1697287320.0
2920,11814,1703070609.0
2898,9911,1717518352.0
3511,9752,1711374817.0
3472,13745,1685095372.0
3947,3465,1680537644.0
2153,3154,1704365977.0
3319,8836,1685977670.0
7821,13412,1726844337.0
3014,13264,1709391775.0
390,1823,1707908995.0
7657,11059,1709548878.0
2928,13150,1683034834.0
7623,4903,1713445881.0
815,7570,1689165150.0
3643,5749,1682086177.0
4678,61,1687515049.0
2128,10422,1705492078.0
150,2048,1680794045.0
3705,9904,1678725997.0
3472,13744,1684948753.0
5100,231,1703080485.0
2652,323,1683726070.0
4432,4345,1697464571.0
3553,6870,1709143159.0
4742,1655,1694428216.0
3063,2304,1695730334.0
5823,13997,1680534470.0
2789,6332,1674044486.0
700,2216,1676730509.0
310,3753,1679479534.0
4210,3652,1674730864.0
3698,13943,1720712486.0
1010,8537,1692884751.0
5502,1621,1687448526.0
1678,2129,1679656195.0
1659,477,1695994117.0
6485,14467,1701696367.0
1632,3520,1685633092.0
3477,8782,1697890367.0
7329,1709,1715164621.0
799,4346,1676733581.0
6613,1657,1712222403.0
1137,7011,1679580135.0
6649,13885,1680516111.0
5008,14064,1708341289.0
3780,8526,1727974425.0
6833,15202,1716298466.0
5376,13816,1701101495.0
2284,11227,1675768527.0
5868,14307,1700659936.0
1694,3720,1712844663.0
6440,11235,1697024601.0
5981,7215,1694523213.0
3231,7855,1678194781.0
5039,740,1680526201.0
5002,2372,1673873819.0
2657,5734,1685439466.0
467,5229,1675783928.0
4378,14373,1702918086.0
226,2978,1691149043.0
5159,13573,1717176745.0
7480,4295,1699538494.0
2794,10155,1673965718.0
6052,5037,1690469012.0
3648,9076,1678364014.0
3113,1964,1699373948.0
1293,30,1720783855.0
1212,1869,1682671166.0
5576,11366,1708509273.0
7814,9801,1726229861.0
4221,12556,1716279699.0
97,598,1717769778.0
648,6555,1714153840.0
1669,11012,1700827553.0
1067,6787,1686136714.0
6141,14578,1706632729.0
2128,68,1684254394.0
2578,12699,1707746773.0
1623,2721,1694802870.0
5489,10456,1675790683.0
1096,8962,1688989565.0
6278,14091,1676993090.0
5211,11365,1698744903.0
141,1953,1706004625.0
6869,3054,1677866869.0
2525,2379,1681235887.0
1228,7554,1700472111.0
7408,12162,1703176929.0
5934,10796,1717236635.0
3924,13308,1674735482.0
321,3842,1679573243.0
6452,14306,1675085145.0
557,5871,1717423342.0
1321,7963,1707748528.0
2859,5671,1678437625.0
7012,2887,1680614318.0
1247,599,1705586738.0
3508,13222,1677250292.0
4014,405,1695731647.0
7616,625,1713265852.0
2853,2980,1707925203.0
66,1285,1683204616.0
1233,7689,1710870977.0
6842,13680,1707388043.0
4430,13524,1677079782.0
1094,8926,1709204022.0
7778,739,1724761578.0
3757,9746,1694202858.0
7325,9930,1707406972.0
1291,1373,1696960582.0
5368,1278,1697627582.0
124,1833,1702471006.0
4473,13185,1684946250.0
7108,12022,1715185501.0
732,7113,1697820785.0
2481,579,1687528254.0
3615,5625,1705586472.0
316,3798,1695313513.0
6604,14764,1703246366.0
6914,9393,1678200531.0
5290,10160,1676982824.0
341,4012,1718977404.0
134,1900,1712404478.0
6272,1226,1682686434.0
4541,11366,1683118486.0
5914,4413,1687604929.0
1134,9161,1707921771.0
6719,14163,1673361261.0
664,2473,1678385974.0
38,679,1675683536.0
5389,10414,1693215231.0
4040,14171,1705418341.0
2515,3848,1721309462.0
51,1150,1684766166.0
3930,14091,1680254481.0
3116,8141,1705685928.0
1555,7863,1693050369.0
4627,14509,1693930234.0
1840,6069,1720715614.0
1259,2484,1728035836.0
6511,3055,1675355584.0
1250,9717,1686594804.0
4234,32,1707303518.0
3325,5730,1698668780.0
2756,12941,1678730263.0
2434,12477,1686830166.0
1706,11088,1714671795.0
6144,14307,1683042819.0
6910,9157,1694101086.0
5324,12820,1698077671.0
2031,11797,1674037039.0
1012,8556,1709315591.0
1601,10819,1700485213.0
6231,12426,1682497038.0
5133,4687,1708431624.0
1744,1417,1683050427.0
6847,611,1702991561.0
3674,2408,1704395394.0
1327,10049,1686745199.0
619,6321,1686928022.0
6279,2418,1700150186.0
833,7663,1683043667.0
6860,12050,1708449087.0
1094,8923,1686848049.0
3310,278,1693757548.0
2622,199,1676711951.0
1137,9187,1704804796.0
1558,203,1680603843.0
5394,9830,1698681821.0
3768,8982,1687862167.0
2096,438,1686930067.0
4024,2567,1702296454.0
2143,11971,1687335712.0
7522,11366,1709036839.0
6869,11058,1674759521.0
3572,1836,1687884009.0
86,1498,1682616932.0
3221,296,1685028056.0
7245,2131,1720626537.0
1928,8563,1694099550.0
262,3349,1709639534.0
6463,6785,1695981674.0
2383,9686,1712069907.0
1271,8613,1699269918.0
2606,12750,1715095062.0
2877,5022,1678967683.0
732,7114,1695206429.0
7089,7115,1688212577.0
1172,9408,1705069852.0
4825,6147,1690376615.0
5435,7164,1684316994.0
4697,13114,1702648388.0
855,7749,1694254285.0
573,5342,1687882680.0
6790,7898,1715761190.0
7772,3857,1723634131.0
5744,14538,1685976018.0
177,2402,1675942369.0
2823,1295,1686589726.0
2363,12356,1707741605.0
3018,4008,1706104758.0
6869,3055,1677264579.0
3524,548,1688736466.0
1083,6305,1676115552.0
3307,3222,1709896481.0
5174,13881,1674055499.0
178,2406,1694169075.0
5134,943,1684762782.0
6399,6187,1728836164.0
4130,6859,1693837110.0
1468,3298,1694017168.0
2887,9934,1680185041.0
709,2053,1713183384.0
554,618,1686147672.0
2180,974,1707331041.0
2993,13241,1679491972.0
2695,12871,1680621116.0
300,3627,1699015302.0
254,3216,1676721312.0
290,3531,1685100845.0
2823,1620,1689421179.0
2043,7906,1720687507.0
2406,7958,1717417658.0
2720,6803,1713887613.0
6869,11184,1679592904.0
2965,13210,1693921065.0
3630,3892,1675685606.0
2963,9835,1679323937.0
4104,9195,1700684336.0
6620,3578,1701084212.0
5400,8112,1698072598.0
957,1644,1682956250.0
159,2168,1713954414.0
664,6681,1708703009.0
2596,611,1682433353.0
391,2759,1678882208.0
7292,9657,1710258397.0
390,4456,1706891242.0
7196,1367,1699360514.0
3187,611,1700812922.0
2337,6382,1698143540.0
4409,8651,1673871084.0
2589,11830,1718798012.0
382,4386,1674658854.0
637,890,1693391538.0
5358,14824,1674653360.0
4907,10573,1693236230.0
2421,252,1714213060.0
6912,13953,1674232151.0
5963,7936,1685034545.0
3569,3055,1679936336.0
4210,6666,1676968399.0
395,981,1699355243.0
3430,7481,1705587654.0
3166,9349,1676915116.0
5906,10199,1708526026.0
1650,1738,1685784925.0
7797,13414,1725007268.0
7566,4570,1718623759.0
1150,9278,1677240910.0
1360,1320,1674029913.0
7633,4765,1710931928.0
7063,1532,1699528385.0
1559,1931,1685124705.0
2163,3708,1705072174.0
4210,6655,1685441328.0
5106,9857,1701187300.0
1318,2026,1701707914.0
1620,715,1714988311.0
4019,11746,1684160170.0
1183,9452,1676372747.0
5932,14603,1695293809.0
6166,6099,1679572346.0
4916,14642,1686303802.0
1995,8853,1691061990.0
1913,11581,1681231289.0
7415,6748,1697475788.0
103,468,1706633654.0
3140,7299,1706814401.0
843,2312,1686132436.0
7177,15247,1710842339.0
5074,11466,1710177933.0
4372,10644,1679068335.0
7433,8239,1705999722.0
1155,9316,1713341192.0
7371,5121,1712769546.0
1539,4,1676721756.0
1247,4220,1696515788.0
1651,10940,1685457473.0
857,4370,1685115862.0
7215,14555,1693821442.0
2919,7135,1696338185.0
1954,3055,1685453937.0
5941,10967,1680802981.0
4425,3022,1683536157.0
1121,9093,1707926904.0
3015,6477,1677600279.0
5059,8031,1682439558.0
6173,625,1677492099.0
6869,7127,1674759645.0
6189,11402,1707223215.0
1032,8668,1712761852.0
1235,9658,1687183076.0
1070,8816,1699278766.0
5888,14087,1701710139.0
1368,9665,1696423914.0
5545,3828,1695828200.0
1873,6097,1709030763.0
2,58,1681925792.0
6915,7123,1675094106.0
6157,6366,1687599144.0
747,3881,1673088197.0
5868,9000,1693503017.0
291,1514,1700137146.0
1068,8804,1691326952.0
3862,4760,1700148570.0
1690,3055,1716641275.0
5903,14903,1683646607.0
3556,13852,1689871156.0
3522,1509,1712330098.0
1361,2130,1683031344.0
3137,9405,1706888387.0
4916,466,1702653925.0
5183,14270,1706193260.0
2273,7809,1673532193.0
6890,6770,1686765487.0
4669,14426,1700222756.0
2920,7134,1688228857.0
3754,5844,1678705072.0
2822,879,1706886098.0
813,7565,1705323505.0
3923,12290,1717763458.0
6715,14166,1682934780.0
5571,14181,1695642915.0
3487,2371,1697807288.0
4884,1746,1713521200.0
1727,5294,1687885063.0
7606,5219,1715779179.0
1664,5845,1695832776.0
117,1762,1713870448.0
428,4784,1687425064.0
5913,3676,1677582546.0
5716,14208,1697198329.0
2402,7483,1719932710.0
1300,9957,1716482844.0
4125,14241,1684150606.0
6108,3022,1692785726.0
1440,8215,1705505245.0
1473,1567,1700830206.0
2336,9891,1702900791.0
4999,8754,1702120820.0
433,4829,1676901918.0
3963,7734,1674841226.0
4464,14434,1704378556.0
5396,13547,1674464581.0
45,980,1711380232.0
6602,8409,1679322116.0
216,2862,1699291990.0
300,3621,1705149808.0
1106,6286,1711536532.0
7600,5209,1704305098.0
2894,12936,1677592500.0
1816,1320,1678353804.0
2379,12386,1675678283.0
1164,9381,1704447484.0
5896,4197,1686570914.0
1358,10165,1715692523.0
4414,1532,1713793399.0
2645,7245,1707916773.0
5951,3317,1725982180.0
1155,5552,1683197600.0
7101,10102,1698942408.0
1578,6255,1688135939.0
3873,7951,1676044740.0
3885,4185,1688206394.0
4092,2156,1719840566.0
7808,15129,1726680613.0
6103,8999,1713861089.0
7039,4060,1685367619.0
6715,14166,1683299809.0
5868,5329,1711537768.0
7457,15079,1700227643.0
6392,11873,1708700737.0
710,6974,1698492581.0
5813,8423,1716990207.0
2578,12700,1707748802.0
639,6452,1673538528.0
4150,6200,1707493908.0
1191,4032,1688574117.0
6393,10675,1707926589.0
1423,9504,1709380666.0
7434,3560,1697195851.0
644,3142,1702897757.0
177,2403,1708095287.0
5466,8081,1712763145.0
1294,984,1707929371.0
207,2740,1719246672.0
2391,12408,1701107837.0
527,5606,1677684377.0
1291,2501,1715106531.0
4221,14301,1716279624.0
7782,15285,1724146957.0
3546,12087,1679597666.0
252,3155,1684935254.0
7578,8474,1705164112.0
2190,2695,1687341644.0
1155,486,1704278547.0
7781,14166,1727862527.0
608,6188,1704543341.0
2111,11927,1680083292.0
1228,9631,1680537041.0
7498,53,1700664799.0
109,738,1675854001.0
2261,2825,1674235632.0
2070,11861,1714735256.0
87,1508,1688813965.0
7371,2318,1699269302.0
5449,5021,1674212876.0
1772,3681,1698772940.0
1287,5035,1702490514.0
658,6600,1686650504.0
3837,8404,1681837626.0
1794,1840,1689341514.0
2759,11531,1710352169.0
7443,1369,1697648078.0
3896,10979,1677664963.0
1760,11206,1715939620.0
7003,6364,1727171122.0
4970,14670,1673626967.0
382,4405,1709300789.0
1993,11744,1706205424.0
2378,124,1710774331.0
2022,9535,1676383231.0
7258,11112,1702900134.0
3676,7239,1716388871.0
2732,2489,1705334907.0
1583,1575,1678450332.0
639,6454,1675679020.0
2236,2698,1706872033.0
2544,11723,1683043759.0
1106,8506,1711536664.0
502,1153,1688122200.0
2792,4484,1696674791.0
1865,7707,1686993003.0
451,5021,1685616726.0
1561,10692,1692982236.0
187,490,1710331953.0
1519,775,1700566462.0
2525,4413,1681926797.0
6962,9393,1677088415.0
20,394,1706694177.0
2815,4976,1674749796.0
2252,7088,1713175311.0
6527,2584,1700673092.0
2061,7928,1677846647.0
1333,10073,1699522681.0
7739,6572,1717948869.0
6086,9367,1695729996.0
2653,12821,1679320820.0
6191,6415,1709798953.0
3815,13324,1704986922.0
4118,2130,1710247542.0
795,5860,1680808275.0
7305,5177,1710761517.0
2843,6106,1716392237.0
2347,8339,1700218281.0
2195,2982,1680698685.0
770,7190,1676020711.0
4041,11978,1682524237.0
6049,10546,1684167696.0
2454,1779,1688566132.0
2214,2110,1702295898.0
5612,14163,1698249729.0
1149,2992,1712573433.0
714,476,1699543739.0
7226,3975,1711472987.0
1759,11196,1689592997.0
1742,3219,1717685540.0
7121,2470,1698073747.0
6036,7096,1686329093.0
1483,1306,1674667404.0
3234,3614,1706305237.0
2077,463,1698424892.0
1563,10698,1675080513.0
7187,13388,1718024632.0
3061,13331,1720794747.0
183,2449,1713016852.0
7612,4127,1704989081.0
166,720,1719911294.0
5172,14756,1697458538.0
4019,1131,1675089179.0
949,8289,1708686323.0
777,6042,1674044631.0
4473,1358,1674570939.0
144,1989,1697637865.0
4181,10274,1716732594.0
2964,10953,1677086096.0
2425,12460,1688487048.0
2868,6364,1719851889.0
2703,12431,1679921227.0
1731,4101,1689263221.0
3276,12817,1694437404.0
5830,13587,1703169988.0
1653,5956,1682604095.0
1623,3096,1701521211.0
642,4577,1716036033.0
3029,13283,1711038747.0
1800,8756,1688130149.0
1206,4551,1700663568.0
2294,4219,1689250022.0
4790,13885,1683878088.0
1686,3508,1689252321.0
1756,4343,1694859908.0
6166,6099,1677146235.0
6451,13957,1695404874.0
6052,6035,1711547382.0
3382,1776,1705921547.0
3998,9088,1691078787.0
6230,13327,1678972551.0
168,2288,1717444620.0
2187,40,1705657060.0
333,3961,1679495982.0
1293,128,1724692262.0
7810,4426,1726058727.0
2928,13155,1677759972.0
6186,8999,1707566883.0
511,2702,1692879867.0
390,2977,1687780760.0
903,6838,1699371017.0
6931,3176,1692635807.0
1620,8362,1682336243.0
2,76,1691072655.0
97,1571,1693412081.0
311,3759,1693236007.0
1653,4823,1695910789.0
7691,3051,1717432017.0
718,7029,1706618440.0
6931,8999,1696006066.0
3522,7775,1689176934.0
5937,56,1683818322.0
2254,8469,1709834775.0
629,466,1710352352.0
3706,5666,1675859951.0
2726,11231,1711616286.0
1906,4961,1674552779.0
2193,12072,1688662074.0
1492,6040,1715943867.0
320,3834,1717161685.0
2364,7287,1700491558.0
1862,611,1701273718.0
2421,2935,1681899257.0
6868,14967,1675350636.0
5864,13561,1713970106.0
1149,2771,1702395197.0
2003,11752,1673019902.0
470,5247,1727170400.0
7620,14702,1707410534.0
1169,3214,1673618914.0
6032,323,1697020808.0
4726,12850,1675328821.0
6000,14657,1676552959.0
1962,6785,1675098668.0
7394,9131,1715171914.0
1499,1017,1672750672.0
6505,9779,1693908337.0
6575,6361,1692881696.0
6852,10603,1675849313.0
1744,5922,1683050502.0
6275,13368,1686149864.0
2338,12319,1683821059.0
2188,12056,1727256121.0
1848,663,1715171380.0
5246,740,1683886083.0
6869,11184,1674297039.0
7364,4426,1694421703.0
7134,3748,1700052725.0
7406,10480,1716027007.0
4437,13732,1676297116.0
4610,7804,1728399623.0
5397,14351,1709286178.0
6375,5116,1673533079.0
4420,7049,1683283341.0
2382,12395,1673883109.0
7553,12386,1725536367.0
802,7494,1688570056.0
3088,1289,1693935748.0
1407,10289,1682417404.0
5666,14955,1685699944.0
2407,2634,1674579890.0
694,6844,1675786689.0
3053,12654,1688549044.0
1629,7847,1679934827.0
557,16,1685117624.0
773,4071,1693329969.0
2392,12419,1692886014.0
7598,8797,1706280260.0
1597,10804,1705330926.0
7060,11122,1696005096.0
2956,1771,1696428065.0
4359,7186,1701437724.0
1267,2613,1678466194.0
924,5291,1691590398.0
4278,13203,1683706106.0
2804,4657,1708337200.0
1309,5200,1693049024.0
1298,9155,1699031441.0
1697,5899,1697018585.0
1720,3866,1706882257.0
45,941,1688738004.0
23,462,1693502555.0
1524,5549,1705659769.0
1140,7062,1720801475.0
6869,8049,1676722141.0
4449,10163,1705312424.0
1949,7104,1709131390.0
5882,3656,1695115656.0
7655,4307,1724778206.0
5305,2741,1712243565.0
5885,53,1705591040.0
1884,11521,1707742003.0
5022,10839,1675252477.0
3643,4024,1711199493.0
4154,2024,1686658817.0
2876,13095,1706349662.0
4920,9265,1673622814.0
1172,9406,1687528632.0
2813,2294,1676909293.0
7823,53,1726938379.0
7407,15029,1708360154.0
1571,10199,1711475220.0
6931,53,1678191898.0
6023,6015,1710265968.0
7102,2147,1712057052.0
2501,6171,1692181799.0
110,1699,1696336907.0
2388,624,1713543294.0
3264,23,1709975515.0
2043,11829,1704730428.0
3846,10715,1687177487.0
5003,11722,1709633464.0
5648,13885,1706003825.0
1349,101,1677516608.0
1488,10520,1688656235.0
1012,2229,1687802091.0
923,4729,1722345984.0
2626,12127,1672945492.0
2070,11860,1702640453.0
1053,6325,1676472056.0
7579,13053,1701966855.0
2032,5490,1710951474.0
1262,9792,1685545371.0
1239,9677,1708166403.0
7008,4340,1682516420.0
6493,859,1685093506.0
5752,8425,1686752140.0
1513,1480,1707126548.0
1067,8801,1709749551.0
371,4346,1688648566.0
1708,612,1680107379.0
6943,9965,1677090872.0
4845,9900,1678882197.0
3095,5752,1679473940.0
7509,5267,1709043446.0
329,822,1709913335.0
2307,5347,1680184593.0
603,5209,1700308897.0
170,2314,1706200983.0
130,23,1678715301.0
2300,12257,1694174006.0
963,694,1679050538.0
6167,7124,1673353239.0
4926,14647,1695124965.0
1118,3721,1725624797.0
5976,15028,1704704921.0
858,2991,1674575088.0
517,638,1720197144.0
163,453,1706782645.0
4378,8901,1702298877.0
7258,2364,1696867769.0
1037,8684,1707759356.0
1819,7832,1687257666.0
2959,2743,1674828103.0
226,2973,1707411090.0
1356,4560,1700656891.0
880,4175,1695208042.0
3568,10716,1677233025.0
817,7577,1692631838.0
1124,9115,1700053351.0
4657,2820,1713859867.0
6489,9348,1707413174.0
2193,12080,1692191842.0
2953,2199,1685107082.0
1121,1436,1706118075.0
2330,4407,1712859867.0
5386,14522,1686565859.0
1664,5845,1674479282.0
5431,14163,1685707520.0
27,565,1688486477.0
2471,646,1705150643.0
2640,6351,1676968299.0
4606,13885,1683878645.0
1158,9332,1706532894.0
5996,9534,1705488496.0
608,6170,1717783806.0
5868,10909,1700659911.0
7667,3019,1713895342.0
1516,10580,1688573602.0
3907,7218,1711553148.0
382,4410,1709816845.0
6585,4426,1718880623.0
1787,705,1723288969.0
5405,209,1683805700.0
3360,2376,1699349016.0
6167,13587,1678282164.0
6338,1672,1679937444.0
2518,7715,1701358069.0
2412,735,1674209131.0
382,4387,1706888127.0
2332,2257,1714401880.0
7537,14163,1726565818.0
6321,5363,1716059234.0
180,2412,1677504509.0
2428,12463,1698836484.0
524,208,1688488090.0
1492,464,1698153116.0
6896,14408,1673627039.0
627,3916,1720012275.0
502,5439,1688116820.0
1580,2878,1674743253.0
7670,9194,1713357503.0
2199,1135,1712920765.0
1496,10534,1707320196.0
6376,15116,1695909828.0
904,2686,1680705358.0
3473,6301,1706286529.0
6507,6781,1676042510.0
1744,8767,1694540262.0
1154,3387,1676715058.0
1239,9673,1688654560.0
6232,14183,1703166910.0
2118,5642,1703772478.0
5726,8114,1694528609.0
1536,10609,1704717851.0
6178,9056,1676028621.0
1315,10004,1688655933.0
5499,8474,1674838492.0
709,6960,1700229770.0
1202,9533,1675347977.0
2039,4894,1708539313.0
1715,11102,1688983448.0
894,780,1717156661.0
2970,5718,1680715284.0
7592,7324,1709218868.0
4461,14221,1675347979.0
942,4902,1697823619.0
