Title,Author,ISBN Valid,Publisher,Subjects,i
Une classe qui coopère : pourquoi ? comment ? /,"Staquet, Christian",9782850084324; 2850084328,Chronique sociale,apprentissage (psychologie)--classe (enseignement)--coopération--élève,14
Penser le projet : concepts et outils d'une pédagogie émancipatrice /,"Tilman, Francis",2850085510; 9782850085512,Chronique sociale,pédagogie de la maîtrise,15
Pays-Bas /,"Williams, Nicola",9782816195590; 2816195597,Lonely planet,Pays-Bas; Guides touristiques et de visite,16
Amsterdam : balades urbaines /,"Vanderhaeghe, Katherine",9782016256336; 2016256338,Hachette,Amsterdam (Pays-Bas); Guides touristiques et de visite,17
"Amsterdam : + Rotterdam, Delft et La Haye : 2024-2025 /",,9782017884026; 2017884022,Hachette Livre,"Amsterdam (Pays-Bas); Amsterdam (Pays-Bas, région); Rotterdam (Pays-Bas); Delft (Pays-Bas); La Haye (Pays-Bas); [Guides touristiques et de visite]",18
Pays-Bas,,9782067257863; 2067257862,Michelin,Pays-Bas; Guides touristiques et de visite,19
Amsterdam /,"Catling, Christopher",9782822902526; 2822902526,National geographic,Amsterdam (Pays-Bas); [Guides touristiques et de visite],20
Histoire des Etats-Unis /,"Durpaire, François",9782715413801; 2715413807,Presses Universitaires de France,États-Unis--Histoire,21
"C'est psy ? Non, hormonal ! : comprendre ses hormones pour se sentir mieux /","Gluck, Marion",9782035993250; 2035993253,Larousse,Santé mentale; Hormones femelles; Femmes--Santé et hygiène,22
C'est mon corps : toutes les questions que se posent les femmes sur leur santé /,"Winckler, Martin",9782378801267; 2378801262,L'Iconoclaste,Women's Health; Sexuality; Reproductive Physiological Phenomena; Contraception; Professional-Patient Relations; Sexualité féminine; Vie sexuelle--Femmes; Féminité; Femmes--Santé et hygiène; Gynécologie; Guides pratiques,23
Le sentiment de justice dans les relations sociales /,"Kellerhals, Jean, 1941-",2130486851; 9782130486855,Presses universitaires de France,justice--relations sociales; justice distributive--relations sociales; justice sociale; équité--groupe--justice--norme sociale,24
S'capade pédagogique avec les jeux d'évasion : apprendre grâce aux escape games : de la maternelle à la formation d'adultes /,"Fenaert, Mélanie",9782340035461; 2340035465,Ellipses,Gamification; Apprentissage par le jeu; Jeux éducatifs; Jeux d'évasion; [Guides pratiques],25
"Pays basque : France, Espagne et Navarre",,9782067253407; 2067253409,Michelin,Pays basque (Espagne); Navarre française (France); Navarre (Espagne); Pays basque (France); Guides touristiques et de visite,26
Le rapport de Brodeck /,"Larcenet, Manu",9782205073850; 2205073850; 9782205075403; 2205075403,,Bandes dessinées,27
Hanbok /,"Darcq, Sophie, 1976-.....",2367310254; 9782367310251,L'Apocalypse,Bandes dessinées; Adoption internationale--Bandes dessinées.; Récits de voyages français--Corée--2000-....; Bandes dessinées autobiographiques--France--2000-....; Bandes dessinées autobiographiques.,28
Philosophia : une histoire de la philosophie en BD /,"Tenaillon, Nicolas",9782340027787; 2340027780,Ellipses,Philosophes; Philosophie; Philosophie--Histoire; Bandes dessinées,29
Chaussettes : 20 modèles à tricoter toute l'année /,"Laitinen, Niina 19..-....",9782383381372; 2383381373,La Plage,Bas et chaussettes; Tricot--Modèles; Manuels d'amateurs,30
Tricoter ses chaussettes : les techniques pour débuter : [+ de 20 modèles pour se lancer] /,"Johnson, Wendy",9782212675504; 221267550X,Eyrolles,Bas et chaussettes--Tricot--Modèles; Guides pratiques,31
Le métier de sociologue : préalables épistémologiques /,"Bourdieu, Pierre",9782713228209; 2713228204,Éditions EHESS,Sociologues; Sociologie--Méthodologie; Sociologie--Pratique; Épistémologie de la sociologie; Sociology--Methodology; Sociologie--Méthodologie.,32
Le dahlia noir /,Matz,9782203045682; 220304568X,Payot & Rivages; Casterman,Bandes dessinées,33
Le bleu est une couleur chaude /,"Maroh, Julie",9782723467834; 272346783X,Glénat,Homosexualité; Lesbianisme; Bandes dessinées,34
"Dictionnaire de la pensée politique : idées, doctrines et philosophes /","Nay, Olivier 1968-....",9782247060009; 2247060005,Armand Colin,Idées politiques; Philosophie politique; doctrine politique--[dictionnaire]; science politique--[dictionnaire]; philosophie politique--[dictionnaire]; Dictionnaires,35
Roger et ses humains /,Paka (1985-....),9782800164199; 2800164190; 9782800167299; 2800167297; 9791034743629,Dupuis,Robots; Ouvrages pour la jeunesse; Bandes dessinées,36
"Simenon, l'Ostrogoth /","Bocquet, José-Louis",9782505120094; 2505120099; 9782505120100; 2505120102; 9782505120117; 2505120110,Dargaud,"Bandes dessinées; Simenon, Georges",37
Géostratégix /,"Boniface, Pascal",9782100830824; 2100830821; 9782100851140; 2100851144,Dunod,Géopolitique.; Relations internationales.; Bandes dessinées,38
Partir : sur les chemins de Compostelle /,"Sohn, Lili",9782203221918; 2203221917,Casterman,Chemins de Saint-Jacques,39
Peau d'homme /,"Hubert, 1971-",9782344010648; 2344010645,Glénat,Mariages royaux et nobles--Renaissance; Différences entre sexes; Bandes dessinées,40
Morgane /,"Fert, Stéphane",9782756070056; 275607005X,Delcourt,[Bandes dessinées],41
Le monde de Sophie /,"Zabus, Vincent 1971-....",9782226475978; 2226475974; 9782226464378; 2226464379,Albin Michel,Philosophie; Bandes dessinées,42
Suisse,,9782067261730; 2067261738,Michelin,Suisse; Guides touristiques et de visite,43
Tokyo tarareba girls /,"Higashimura, Akiko 1975",9782353481903; 2353481906; 9782353481996; 235348199X; 9782353482009; 2353482007; 9782353482092; 2353482090; 9782353482191; 2353482198; 9782353482313; 2353482317; 9782353482467; 2353482465; 9782353482542; 2353482546; 9782353482573; 2353482570,Le Lézard Noir,Bandes dessinées; Mangas,44
Yotsuba & ! /,"Azuma, Kiyohiko",9782351420713; 2351420713; 9782351420720; 2351420721; 9782351420737; 235142073X; 9782351420744; 2351420748; 9782351421536; 2351421531; 9782351422106; 2351422104; 9782351423448; 2351423445; 9782351423950; 235142395X; 9782351425374; 2351425375; 978235142660,Kurokawa,Mangas--Japon; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,45
Le monde sans fin /,"Jancovici, Jean-Marc",9782205088168; 2205088165,Dargaud,Climate Change; Environmental Health; Environment and Public Health; Energy-Generating Resources; Graphic Novel; Changements climatiques; Changement global de l'environnement; Ressources énergétiques; Vulgarisation scientifique; Transition énergétique; Réchauffement de la Terre; Bandes dessinées,46
La Fille à la moto /,"Suzuki, Ôji",9782889231164; 288923116X,Atrabile Editions,,47
Seuls en exil /,"Menor, Fabian",9782940673773; 2940673772,Helvetiq,Immigrés--Suisse; Bandes dessinées,48
Coming in /,"Font, Elodie",9782228929097; 2228929093,Arte Editions; Editions Payot & Rivages,"Homosexuality--psychology; Homosexuality, Female--psychology; Self Concept; Graphic Novel; Homosexualité; Coming out; Acceptation de soi; Lesbianisme; Lesbiennes; Romans graphiques",49
Les héros de l'étoffe : la fabuleuse histoire du textile /,"Laliberté, Séverine, 1973-",9782368465196; 2368465197,Cité sciences et industrie; Steinkis,Vêtements--Histoire; Mode--Histoire; Textiles et tissus--Histoire; Bandes dessinées,50
Le bébé des Buttes-Chaumont /,"Tardi, Jacques",9782203013131; 2203013133,Casterman,Bandes dessinées,51
Ascension /,"Sakamoto, Shin'ichi, 1972-",9782756016641; 2756016640; 9782756020433; 2756020435; 9782756020440; 2756020443; 9782756020457; 2756020451; 9782756020464; 275602046X; 9782756020471; 2756020478; 9782756022499; 2756022497; 9782756024851; 2756024856; 9782756024868; 2756024864; 978275602487,Delcourt,Bandes dessinées; Mangas,52
Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351420171; 2351420179; 9782351420188; 2351420187; 9782351420195; 2351420195; 9782351420416; 2351420411; 2351420454; 9782351420454; 2351420462; 9782351420461; 2351420470; 9782351420478; 2351420489; 9782351420485; 2351420497; 9782351420492; 978235142147,Kurokawa,Shônen; Mangas; Bandes dessinées,53
Pil /,"Yamazaki, Mari",9782203066427; 2203066423,Casterman,Bandes dessinées; Mangas,54
Goán tau chez moi /,"Li-Chin, Li 1973-....",2369902965; 9782369902966,Çà et là,Bandes dessinées,55
Soixante printemps en hiver /,"Jongh, Aimée de, 1988-",9791034747375,Dupuis,Minorités sexuelles; Bandes dessinées,56
Python pour les SHS : introduction à la programmation pour le traitement de données /,"Schultz, Emilien, 1987-",9782753581067; 2753581061,Presses universitaires de Rennes,Sciences humaines--Recherche--Informatique; Sciences sociales--Informatique; Python (langage de programmation); Python (Computer program language),57
A silent voice /,"Oima, Yoshitoki, 1989-",9782355927713; 2355927715; 9782355927942; 2355927944; 9782355928222; 2355928223; 9782355928390; 2355928398; 9782355928659; 2355928657; 9782355929083; 2355929084; 9782355929328; 2355929327,Ki-oon,Surdité; Harcèlement en milieu scolaire; Mangas; Bandes dessinées,58
L'appel de Néron /,"Yamazaki, Mari",9782203132436; 2203132434,Castermann,Bandes dessinées,59
"Connaissez-vous vraiment Internet ? : protocoles, sécurité, censure, gouvernance... /",,9782416007279; 2416007270,Editions Eyrolles,Internet; Internet--Gestion; Internet--Droit; Systèmes informatiques--Mesures de sûreté,60
Hoodoo darlin' /,"Bischoff, Léonie",9782203047037; 2203047038,KSTR-Casterman,Bandes dessinées,61
Les médias en Suisse /,"Haver, Gianni",9782606021603; 2606021606,Editions Loisirs et Pédagogie,Médias--Suisse; Médias et opinion publique; Société médiatique; Médias--Histoire,62
Bonjour Bonsoir /,Vamille,9782889084517; 2889084515,La Joie de lire,Bandes dessinées,63
Journal inquiet d'Istanbul /,"Karabulut, Ersin",9782205085761; 220508576X,Dargaud,Bandes dessinées,64
Le design des bibliothèques publiques  /,"Beudon, Nicolas",9791092272406,Editions Klog,Libraries; Architecture; Marchandisage; Bibliothèques publiques; Bibliothèques--Activités culturelles; Bibliothèques--Services aux publics; Bibliothèques (constructions)--Aménagement,65
Contrition /,"Portela, Carlos, 1967-.....",2207169456; 9782207169452,Denoël,Délinquants sexuels; Bandes dessinées policières; Bandes dessinées,66
Les contraceptés : enquête sur le dernier tabou /,"Daudin, Guillaume",9782368464304; 2368464301,Steinkis,"Contraceptive Devices, Male; Contraception; Contraception masculine; Bandes dessinées; Graphic Novel",67
Formose /,"Li-Chin, Li 1973-....",9782916207629; 2916207627,Cà et là,Bandes dessinées,68
Les mers du Sud /,"Migoya, Hernán",9782205207941; 2205207946,Dargaud,Bandes dessinées,69
Fudafudak : l'endroit qui scintille /,"Li-Chin, Li 1973-....",2369902361; 9782369902362,Cà et là,"Bandes dessinées; Amis (Taiwan people); Comic books, strips, etc.; Graphic novels; Taiwan aborigines--Social life and customs; Amis (Taiwan people)--Comic books, strips, etc.; Taiwan aborigines--Social life and customs--Comic books, strips, etc.; Comic books, strips, etc.--Taiwan.; Graphic novels--Taiwan.; Ami (Peuple de Taiwan)--Bandes dessinées.; Autochtones--Taiwan--Mœurs et coutumes--Bandes dessinées.; Romans graphiques--Taiwan.; Taiwan; Comics (Graphic works)",70
Les sentiments du Prince Charles /,"Strömquist, Liv 1978-....",9782878271980; 287827198X,Rackham,Relations hommes-femmes; Bandes dessinées,71
Le savoir-vivre professionnel : conseils pratiques et usages en Suisse /,"Abplanalp, Susanne",9782606016982; 260601698X,Editions Loisirs et Pédagogie,Sociologie du travail; Relations professionnelles--Suisse--20e siècle; Relations humaines; Savoir-vivre--Guides pratiques,72
Le droit du travail en Suisse : 90 questions-réponses issues de la pratique /,"Schwaab, Jean Christophe, 1979-",9782606016135; 2606016130,LEP Loisirs et pédagogie,Droit du travail--Suisse; Arbeitsrecht; Arbeitsvertrag; Schweiz; Lehrmittel; Guides pratiques,73
Turing à la plage : l'intelligence artificielle dans un transat /,"Guerraoui, Rachid",9782100795550; 2100795554,Dunod,"Informatique quantique; Turing, Alan; Intelligence artificielle",74
GTO : great teacher onizuka /,"Fujisawa, Tohru",9782811609665; 2811609660; 9782811609252; 2811609253; 9782811609474; 2811609474; 9782811607319; 2811607315; 9782811609368; 2811609369; 9782811607067; 2811607064; 9782811606794; 2811606793; 9782811606626; 2811606629; 9782811606237; 2811606238; 978281160585,Pika,Bandes dessinées; Mangas,75
Silver spoon = La cuillère d'argent /,"Arakawa, Hiromu, 1973-",9782351428344; 235142834X; 9782351428351; 2351428358; 9782351428856; 2351428854; 9782351428962; 235142896X; 9782351428979; 2351428978; 9782351429730; 2351429737; 9782351429747; 2351429745; 9782351429754; 2351429753; 9782368521120; 2368521127; 978236852113,Kurokawa,Bandes dessinées; Mangas,76
Ici /,"McGuire, Richard",9782070652440; 2070652440,Gallimard,Bandes dessinées,77
Fullmetal alchemist /,"Arakawa, Hiromu, 1973-",9782351427552; 2351427556; 9782351427521; 2351427521; 9782351428009; 2351428005; 9782351428016; 2351428013; 9782351428740; 2351428749; 9782351428863; 2351428862; 9782351428986; 2351428986; 9782351428993; 2351428994; 9782351429884; 2351429885; 978235142989,Kurokawa,Bandes dessinées; Mangas,78
La vierge de fer /,"Kishiro, Yukito",9782344018415; 2344018417,Glénat,Bandes dessinées; Mangas,79
Erased /,"Sanbe, Kei",9782355926990; 2355926999; 9782355927140; 2355927146; 9782355927430; 235592743X; 9782355927829; 2355927820; 9782355928307; 2355928304; 9782355929182; 2355929181; 9782355929762; 2355929769; 9791032700570; 9791032701799,Ki-oon,Mangas; Bandes dessinées,80
Kokkoku /,"Horio, Seita",9782723498142; 272349814X; 9782723498159; 2723498158; 9782723498166; 2723498166; 9782344008300; 2344008306; 9782344008317; 2344008314; 9782344013052; 2344013059; 9782344013069; 2344013067; 9782344013076; 2344013075,Glénat,Bandes dessinées; Mangas,81
Voleuse /,"Bryon, Lucie",9782377317813; 2377317812,Sarbacane,Bandes dessinées,82
L'ora del caffè : manuale di conversazione per generazioni incompatibili /,"Carofiglio, Gianrico, 1961-",9788806253219; 8806253212,Einaudi,,83
Tombée d'une autre planète : d'après les aventures indécentes de Patricia Highsmith /,"Ellis, Grace 19..-....",9782702183311; 270218331X,Editions Calmann-Lévy,Bandes dessinées,84
Monsieur Remarquable /,"Tokarczuk, Olga",8366789306; 9788366789302,Format,,85
Kimchi baguette : journal de bord d'une Coréenne en France ! /,Silki 1993-....,2205207954; 9782205207958,Dargaud,Bandes dessinées,86
Océan express /,"Ayroles, François",9782844149367; 2844149367,L'Association,Bandes dessinées,87
Le petit robot de bois et la princesse bûche /,"Gauld, Tom",9782211313148; 2211313140,l'École des loisirs,Robots; Frères et soeurs; Livres d'images,88
La mort n'est que le début... de l'enquête du médecin légiste /,"Grabherr, Silke",9782828916404; 2828916405,Favre,Médecine légale; Thanatologie; Cadavres; Forensic Medicine--trends; Autopsy--methods; Switzerland,89
The talk : tu seras toujours un danger à leurs yeux /,"Bell, Darrin 19..-....",9782260056072; 2260056075,Julliard,Bandes dessinées; Conditions sociales--États-Unis; Noirs américains--Violence envers,90
Kaiju N°8 /,"Matsumoto, Naoya",9782820341075; 2820341071; 9782820342348; 2820342345; 9782820343093; 2820343090; 9782820343109; 2820343104; 9782820343116; 2820343112; 9782820343888; 2820343880; 9782820344076; 2820344070; 9782820346018; 2820346014; 9782820346216; 2820346219; 978282034648,Kazé,Shônen; Mangas,91
Le sablier /,"Ashihara, Hinako",9782505002901; 2505002908; 9782505003298; 2505003297; 9782505003168; 2505003165; 9782505004073; 2505004072; 9782505004363; 2505004366; 9782505005155; 250500515X; 9782505005322; 250500532X; 9782505005612; 2505005613; 9782505006053; 2505006059; 978250500717,Kana,Bandes dessinées; Mangas,92
Hirayasumi /,"Shinzo, Keigo, 1987-",9782353482788; 2353482783; 9782353482795; 2353482791; 9782353483334; 235348333X; 9782353483525; 2353483526; 9782353483570; 2353483577,Le Lezard noir,Mangas; Mangas.,93
Que faire de l'intelligence artificielle? : petite histoire critique de la raison artificielle /,"García, Vivien 1983-....",9782743659042; 2743659041,Payot & Rivages,Intelligence artificielle,94
Akane banashi /,"Suenaga, Yuki 19..-....",9791032715413; 9791032715420; 9791032715437; 9791032715857,Ki-oon,Mangas; Mangas.,95
Des maux à dire /,"Lema, Beatriz 1985-....",9791040802396,Sarbacane,Bandes dessinées; Mères et filles; Maladies mentales; Récits personnels; Romans graphiques,96
Il y a longtemps que je t'aime /,"Spénale, Marie",2203276509; 9782203276505,Casterman,Bandes dessinées,97
Regarde les lumières mon amour /,"Ernaux, Annie",9782370210371; 2370210370,Seuil,,98
Peau /,"Versyp, Mieke 1965-....",9782369903093; 2369903090,Çà et là,Bandes dessinées.; Romans graphiques.,99
Fruits basket : une corbeille de fruits /,"Takaya, Natsuki",2840559188; 9782840559184; 9782840559481; 284055948X; 9782840559870; 2840559870; 2847890319; 9782847890310; 2847891285; 9782847891287; 2847891439; 9782847891430; 2847891927; 9782847891928; 2847893059; 9782847893052; 2847893571; 9782847893571; 978284789406,Delcourt,Shojo; Bandes dessinées; Ouvrages pour la jeunesse; Mangas,100
Orange /,"Takano, Ichigo",9782369740315; 2369740310; 9782369740384; 2369740388; 9782369740537; 2369740531; 9782369740711; 236974071X; 9782369741121; 2369741120; 9782369742791; 2369742798; 9782382124291; 2382124296,Akata,Mangas,101
"Manifeste cyborg et autres essais : sciences, fictions, féminismes /","Haraway, Donna Jeanne",9782912969637; 2912969638,Exils Editeur,Anthropologie physique; Sciences et société; Théorie féministe; Technologie--Aspect social; féminisme--[études diverses]; culture--féminisme--nature--science--[études diverses]; Technologie; Identité sexuelle; Race,102
Bride stories /,"Mori, Kaoru",9782355922749; 2355922748; 9782355923081; 2355923086; 9782355923371; 235592337X; 9782355924354; 235592435X; 9782355925771; 2355925771; 9782355926556; 2355926557; 9782355928635; 2355928630; 9782355929922; 2355929920; 9791032700624; 9791032702413; 979103270,Ki-oon,Mariage forcé--Asie centrale; Voyage; Mangas,103
La littérature : une infographie /,"Gefen, Alexandre professeur de littérature 1970-....",9782271138569; 2271138566,CNRS Éditions,Littérature--Histoire.; Data visualisation.; Ouvrages illustrés.; Ouvrages de vulgarisation.,104
Avec toi /,"Nishi, Keiko 19..-....",9782369747765; 2369747765,Akata,Mangas,105
Adieu Eri /,"Fujimoto, Tatsuki",9782820345943; 2820345948,Crunchyroll,Mangas,106
A schiovere : vocabolario napoletano di effetti personali /,"De Luca, Erri, 1950-",880703574X; 9788807035746,Feltrinelli,Napolitain (dialecte); Vocabulaires et manuels de conversation,107
Love fragrance /,"Yamada, Kintetsu 19..-....",9782505088066; 2505088063; 9782505088073; 2505088071; 9782505088080; 250508808X; 9782505088097; 2505088098; 9782505088103; 2505088101; 9782505112587; 2505112584; 9782505112594; 2505112592; 9782505112600; 2505112606; 9782505112617; 2505112614; 978250511262,Kana,Mangas,108
Daido Moriyama /,"Moriyama, Daido, 1938-",9782330010782; 2330010788,Actes Sud,"Moriyama, Daido",109
The ancient Magus Bride /,"Yamazaki, Koré",9782372870276; 2372870270; 9782372870337; 2372870335; 9782372870528; 2372870521; 9782372870733; 2372870734; 9782372871174; 237287117X; 9782372872355; 2372872354; 9782372872362; 2372872362; 9782372873352; 2372873350; 9782372873802; 2372873806; 978237287425,Komikku,Mangas; Bandes dessinées,110
Love & lies /,Musawo,9782811630850; 2811630856; 9782811630867; 2811630864; 9782811630874; 2811630872; 9782811634513; 2811634517; 9782811636029; 2811636021; 9782811637651; 2811637656; 9782811643300; 2811643303; 9782811648817; 281164881X; 9782811654818; 281165481X; 978281166112,Pika éd,Bandes dessinées; Mangas,111
Amanchu! /,"Amano, Kozue",9782355922459; 2355922454; 9782355922886; 2355922888; 9782355923135; 2355923132; 9782355924064; 2355924066; 9782355925344; 2355925348; 9782355926037; 2355926034; 9782355927478; 2355927472; 9782355926792; 2355926794; 9782355929601; 2355929602; 979103270221,Ki-Oon,Bandes dessinées; Mangas,112
Eclat(s) d'âme /,"Kamatani, Yuhki",9782369742739; 2369742739; 9782369743095; 2369743093; 9782369743187; 2369743182; 9782369743293; 2369743298,Akata,Transidentité; Violence psychologique; Minorités sexuelles; Shônen; Mangas,113
Bâtard /,"Kim, Carnby 19..-....",9791032708484; 9791032710005; 9791032710081; 9791032710180; 9791032710418,Ki-oon,Bandes dessinées; Mangas,114
"Amour, sexe et terre promise : reportage en Israël et Palestine /","Parent-Rachdi, Salomé",9791037511720,Les Arènes,Relations Juifs-Arabes; Conflit israélo-arabe; Récits personnels; Bandes dessinées,115
Super furax /,"Bertschy, Christophe",9791034732197,Dupuis,Bandes dessinées,116
La petite fille Bois-Caïman /,"Bourgeon, François",9782356480668; 2356480668; 9782356481122; 2356481125,12 bis,Bandes dessinées historiques,117
Le sang des cerises /,"Bourgeon, François",9782413004080; 2413004084; 9782413030621; 241303062X,Delcourt,Bandes dessinées historiques,118
Un ami tombé du ciel /,"Lallemand, Orianne, 1972-",9782733892985; 2733892983,Editions Auzou,Livres d'images,119
La petite bûche /,"Escoffier, Michaël",9782924645314; 292464531X,Éditions d'eux,Création littéraire; Animaux des forêts; Livres d'images,120
Le veilleur de lune /,"Bombace, Aurélie",9782017086864; 201708686X,Gautier-Languereau,,121
"Schtinki, un sanglier au caractère de cochon : inspiré d’une histoire vraie /","Giorgini, Victoria",9782970156505; 2970156504,Lunidea,,122
Cache-Lune /,"Puybaret, Eric",9782017124023; 2017124028,Gautier-Languereau,Lune; Entraide; Vol,123
Monsieur Paul et le poisson Alfred /,"Neeman, Sylvie 1963-....",9782211321006; 2211321003,l'École des loisirs,Amitié.; Déserts.; Roman pour la jeunesse.; Livres illustrés pour enfants.,124
Le voleur de lettres /,"Torti, Dominique",9782970146209; 2970146207,Editions Torti,Lecture--Étude et enseignement (primaire); Apprentissage de l'écriture; Ouvrages pour la jeunesse,125
Je revenais des autres : roman /,"Da Costa, Mélissa",9782226456120; 2226456120,Albin Michel,Roman,126
Recitatif : a story /,"Morrison, Toni, 1931-2019",9780593315033; 0593315030,Alfred A Knopf,,127
Hamnet /,"O'Farrell, Maggie",9782714494085; 2714494080,Belfond,[Roman historique],128
Énigmes : au coeur de la science : résous 25 mystérieuses affaires /,"Gallo, Ana",9782378012069; 2378012063,Saltimbanque éditions,Livres documentaires pour la jeunesse; Sciences--Expériences pour la jeunesse; Livres-jeux,129
Peau de mille bêtes /,"Fert, Stéphane",9782756091723; 2756091723,Delcourt,Bandes dessinées; Femmes--Conditions sociales; Contes détournés,130
Carbone & Silicium /,"Bablet, Mathieu, 1987-",9791033511960,Ankama,Intelligence artificielle; Bandes dessinées de science-fiction; Bandes dessinées,131
Saga /,"Vaughan, Brian K",9782365772013; 2365772013; 9782365772570; 2365772579; 9782365773744; 2365773745; 9782365774284; 2365774288; 9782365776950; 2365776957; 9782365778640; 236577864X; 9782365779241; 2365779247; 9791026811961; 9791026815280; 9791026815372; 9791026822615,Urban Comics,Bandes dessinées,132
Tant que le café est encore chaud : roman /,"Kawaguchi, Toshikazu 1971-....",9782226458506; 2226458506,Albin Michel,Roman,133
Le génie des dys : être dys et haut potentiel à la fois /,"Habib, Michel",9782361067663; 2361067668,Editions Sciences Humaines,Dyspraxie; Dyslexie; Surdoués; Troubles de l'apprentissage; Enfants surdoués; Enfants dyslexiques,134
En vadrouille dans Aventicum /,"Tissot, Lucile, archéologue",9782889680498; 2889680495,Infolio,"Rome--30 av. J.-C.-476 (Empire); Ouvrages pour la jeunesse; Avenches (Suisse, VD); Gallo-romains--Suisse; Sites archéologiques",135
Et Dieu riait beaucoup : roman /,"Sfar, Joann",9782226457790; 2226457798,Albin Michel,,136
Vaud /,"Jobé-Truffé, Virginie",9782365084116; 2365084117,Auzou,Vaud (Suisse); Livres documentaires pour la jeunesse; Atlas; Ouvrages pour la jeunesse,137
Miracle à la combe aux Aspics /,"Tomić, Ante",9782882506771; 2882506775,Noir sur Blanc,,138
Un miracle : roman /,"Mas, Victoria",9782226474087; 2226474080,Albin Michel,,139
Habibi /,"Thompson, Craig, 1975-",9782203003279; 2203003278; 9782203132702; 2203132701,Casterman,Bandes dessinées,140
L'illusion du mal : roman /,"Pulixi, Piergiorgio, 1982-",9782351782774; 2351782771,Gallmeister,,141
Oublier Gabriel /,"Yoakim-Pasquier, Karine",9782940712045; 2940712042,Editions Torticolis et Frères,Roman suisse de langue française,142
Larmes de renard /,"Salvadore, Matteo 2001-....",9782883871472; 2883871477,Plaisir de Lire,Roman policier suisse de langue française,143
Le monstre poilu /,"Bichonnier, Henriette",9782075160445; 2075160449,Gallimard Jeunesse,Monstres; Roman pour la jeunesse,144
Elles : roman /,"De Céspedes, Alba",9782072941795; 2072941792,Gallimard,,145
Ne coupez jamais la poire en deux : un manuel redoutable pour négocier gagnant par un négociateur du FBI /,"Voss, Christopher",9782714474346; 2714474349,Belfond,Négociations; Relations humaines; Guides pratiques,146
La couleur des émotions : un livre tout animé /,"Llenas, Anna",9791026400134,Quatre Fleuves,Émotions; Couleurs; Sens et sensations; Livres animés; [Ouvrages pour la jeunesse]; Ouvrages pour la jeunesse,147
Grèce continentale : + îles Ioniennes et Sporades : 2022-2023,,9782017187820; 2017187828,Hachette,Grèce; Guides touristiques et de visite,148
Lettre à mon dictateur /,Eugène 1969-....,9782832111420; 2832111424,Editions Slatkine,Roumains--Suisse; Roman suisse de langue française; Biographie,149
