i,Title,book_type,discipline,topic,confidence
106,Adieu Eri /,comics,not_applicable,not_applicable,high
107,A schiovere : vocabolario napoletano di effetti personali /,reference,linguistics,not_applicable,high
108,Love fragrance /,comics,not_applicable,not_applicable,high
109,Daido Moriyama /,reference,arts_art_history,not_applicable,high
110,The ancient Magus Bride /,comics,not_applicable,not_applicable,high
111,Love & lies /,comics,not_applicable,relationships,high
112,Amanchu! /,comics,not_applicable,not_applicable,high
113,Eclat(s) d'âme /,comics,not_applicable,not_applicable,high
114,Bâtard /,comics,not_applicable,not_applicable,high
115,"Amour, sexe et terre promise : reportage en Israël et Palestine /",comics,not_applicable,current_affairs_politics,high
116,Super furax /,comics,not_applicable,not_applicable,high
117,La petite fille Bois-Caïman /,comics,not_applicable,history_civilization,high
118,Le sang des cerises /,comics,not_applicable,history_civilization,high
119,Un ami tombé du ciel /,children,not_applicable,not_applicable,high
120,La petite bûche /,children,not_applicable,not_applicable,medium
121,Le veilleur de lune /,fiction,not_applicable,not_applicable,medium
122,"Schtinki, un sanglier au caractère de cochon : inspiré d’une histoire vraie /",children,not_applicable,not_applicable,medium
123,Cache-Lune /,children,not_applicable,not_applicable,medium
124,Monsieur Paul et le poisson Alfred /,children,not_applicable,not_applicable,high
125,Le voleur de lettres /,children,not_applicable,not_applicable,high
126,Je revenais des autres : roman /,fiction,not_applicable,not_applicable,high
127,Recitatif : a story /,fiction,not_applicable,not_applicable,high
128,Hamnet /,fiction,not_applicable,not_applicable,high
129,Énigmes : au coeur de la science : résous 25 mystérieuses affaires /,children,not_applicable,not_applicable,high
130,Peau de mille bêtes /,comics,not_applicable,not_applicable,high
131,Carbone & Silicium /,comics,not_applicable,science_technology,high
132,Saga /,comics,not_applicable,not_applicable,high
133,Tant que le café est encore chaud : roman /,fiction,not_applicable,not_applicable,high
134,Le génie des dys : être dys et haut potentiel à la fois /,non_fiction_general,not_applicable,education_learning,high
135,En vadrouille dans Aventicum /,children,not_applicable,not_applicable,high
136,Et Dieu riait beaucoup : roman /,fiction,not_applicable,not_applicable,high
137,Vaud /,children,not_applicable,not_applicable,high
138,Miracle à la combe aux Aspics /,fiction,not_applicable,not_applicable,medium
139,Un miracle : roman /,fiction,not_applicable,not_applicable,high
140,Habibi /,comics,not_applicable,not_applicable,high
141,L'illusion du mal : roman /,fiction,not_applicable,not_applicable,high
142,Oublier Gabriel /,fiction,not_applicable,not_applicable,high
143,Larmes de renard /,fiction,not_applicable,not_applicable,high
144,Le monstre poilu /,children,not_applicable,not_applicable,high
145,Elles : roman /,fiction,not_applicable,not_applicable,high
146,Ne coupez jamais la poire en deux : un manuel redoutable pour négocier gagnant par un négociateur du FBI /,practical,not_applicable,career_business,high
147,La couleur des émotions : un livre tout animé /,children,not_applicable,not_applicable,high
148,Grèce continentale : + îles Ioniennes et Sporades : 2022-2023,practical,not_applicable,travel,high
149,Lettre à mon dictateur /,fiction,not_applicable,not_applicable,high
150,Escape game au manoir /,children,not_applicable,not_applicable,high
151,Le loup en [slip] se les gèle méchamment /,comics,not_applicable,not_applicable,high
152,Le loup en [slip] /,comics,not_applicable,not_applicable,high
153,Ceux qui restent /,comics,not_applicable,not_applicable,medium
154,Lucine et Enzo : ou le parcours d'un enfant atypique /,non_fiction_general,not_applicable,parenting_family,medium
155,Celui qui part  /,comics,not_applicable,not_applicable,medium
156,Bonny and Pierrot /,comics,not_applicable,not_applicable,high
157,Mon cerveau a besoin de lunettes : le TDAH expliqué aux enfants /,children,not_applicable,not_applicable,high
158,Le loup en [slip] slip hip hip ! /,comics,not_applicable,not_applicable,high
159,Le coeur en braille /,comics,not_applicable,personal_development,high
160,Mon cerveau a encore besoin de lunettes : le TDAH chez les adolescents et les adultes : guide pratique pour mieux vivre avec le trouble du déficit de l'attention avec ou sans hyperactivité /,practical,not_applicable,health_wellness,high
161,Darwin /,comics,not_applicable,biography_memoir,high
162,Vanité /,fiction,not_applicable,not_applicable,high
163,Ceci n'est pas un fait divers : roman /,fiction,not_applicable,not_applicable,high
164,L'attaque des citrouilles /,children,not_applicable,not_applicable,medium
165,Mouches /,fiction,not_applicable,not_applicable,medium
166,Alexandra David-Néel : [les chemins de Lhassa] /,comics,not_applicable,biography_memoir,high
167,Les femmes du bout du monde : roman /,fiction,not_applicable,not_applicable,high
168,Rouge /,fiction,not_applicable,not_applicable,high
169,Galel /,fiction,not_applicable,not_applicable,high
170,Le vol des Glaneuses /,fiction,not_applicable,not_applicable,high
171,Nani : roman /,fiction,not_applicable,not_applicable,high
172,Le chant des innocents : roman /,fiction,not_applicable,not_applicable,high
173,Le petit guide illustré du TDAH : enfin comprendre comment je fonctionne ! : enfin apprendre à vivre avec ! /,practical,not_applicable,health_wellness,high
174,James Cook /,comics,not_applicable,biography_memoir,high
175,Buvettes et auberges d'alpages de Suisse romande,practical,not_applicable,travel,high
176,Le philatéliste : roman /,fiction,not_applicable,not_applicable,high
177,Déréglée : journal d'une ménopause /,comics,not_applicable,health_wellness,high
178,Astra Nova /,comics,not_applicable,not_applicable,medium
179,Demain les oiseaux : intégrale /,comics,not_applicable,not_applicable,high
180,L'engrenage du mal /,fiction,not_applicable,not_applicable,high
181,Franklin : les prisonniers de l'Arctique /,comics,not_applicable,history_civilization,high
182,Les larmes du lagon /,fiction,not_applicable,not_applicable,high
183,Vallée du silicium /,fiction,not_applicable,not_applicable,high
184,A la poursuite du dragon /,children,not_applicable,not_applicable,high
185,Le koala qui disait des gros mots /,children,not_applicable,not_applicable,high
186,Killiok /,children,not_applicable,not_applicable,medium
187,On a volé mon slip ! /,children,not_applicable,not_applicable,medium
188,"Berne, nid d'espions : l'affaire Dubois 1955-1957 /",comics,not_applicable,history_civilization,high
189,"Danemark, Suède",practical,not_applicable,travel,high
190,"Danemark, Suède : 2017-2018 /",practical,not_applicable,travel,high
191,Cinq méditations sur la beauté /,academic,philosophy,not_applicable,high
192,"Mourir : ce que l'on sait, ce que l'on peut faire, comment s'y préparer /",non_fiction_general,not_applicable,health_wellness,high
193,Le hasard enchanté et les forces de l'espoir /,non_fiction_general,not_applicable,personal_development,medium
194,Pologne,practical,not_applicable,travel,high
195,Soigner les vivants et parler aux morts /,non_fiction_general,not_applicable,spirituality,medium
196,Venise,practical,not_applicable,travel,high
197,"Après Jésus : l'invention du christianisme"" /",non_fiction_general,not_applicable,history_civilization,high
198,"Spinoza : éthique, de la vérité au bonheur /",comics,not_applicable,other,high
199,En thérapie : la psychanalyse en série /,popular_science,psychology,not_applicable,high
200,Les nouvelles routes du soi : [en immersion chez les nouveaux spirituels] /,non_fiction_general,not_applicable,spirituality,high
201,Guérir nos âmes blessées : la révolution des thérapies /,non_fiction_general,not_applicable,health_wellness,high
202,King Kong théorie /,non_fiction_general,not_applicable,personal_development,high
203,Le marché des dieux : comment naissent les innovations religieuses : du judaïsme au christianisme /,academic,anthropology_ethnology,not_applicable,high
204,Une histoire de l'ergot de seigle : du mal des ardents au LSD /,non_fiction_general,not_applicable,history_civilization,high
205,"L'arthrose à 40 ans : comment l'éviter, comment la soigner /",practical,not_applicable,health_wellness,high
206,L'homme augmenté : futurs de nos cerveaux /,non_fiction_general,not_applicable,personal_development,high
207,La sagesse interdite : révélations sur les substances à l'origine des traditions spirituelles /,non_fiction_general,not_applicable,spirituality,high
208,L'Aventure de vieillir /,non_fiction_general,not_applicable,personal_development,medium
209,Histoire incorrecte de Rome /,popular_science,history,not_applicable,high
210,Tout ce qui nous était à venir /,fiction,not_applicable,not_applicable,medium
211,En harmonie : fondements de l'harmonie tonale et modale dans le jazz /,reference,arts_art_history,not_applicable,high
212,"Et moi, je vis toujours : roman /",fiction,not_applicable,not_applicable,high
213,Dans l'oeil du crocodile : l'humanité comme proie /,non_fiction_general,not_applicable,nature_animals,high
214,Dette d'oxygène /,fiction,not_applicable,not_applicable,high
215,Noyade : roman /,fiction,not_applicable,not_applicable,high
216,Les lendemains : roman /,fiction,not_applicable,not_applicable,high
217,Toscane /,practical,not_applicable,travel,high
218,Les mondes de Saturne /,popular_science,astronomy_space,not_applicable,high
219,Quand sapiens raconte la vie à Néandertal /,non_fiction_general,not_applicable,history_civilization,medium
220,Voyage en misarchie : essai pour tout reconstruire /,non_fiction_general,not_applicable,current_affairs_politics,high
221,"Un purgatoire très discret : la transition ""helvétique"" d'anciens nazis, fascistes et collaborateurs après 1945 /",academic,history,not_applicable,high
222,Andalousie /,practical,not_applicable,travel,high
223,Je pense trop : comment canaliser ce mental envahissant  /,practical,not_applicable,personal_development,high
224,"Les origines du plan Marshall : le mythe de ""l'aide"" américaine /",academic,history,not_applicable,high
225,Ukraine entre guerre & paix /,non_fiction_general,not_applicable,current_affairs_politics,high
226,Italie du Nord,practical,not_applicable,travel,high
227,A prendre ou à laisser /,fiction,not_applicable,not_applicable,high
228,Au commencement était... : une nouvelle histoire de l'humanité /,non_fiction_general,not_applicable,history_civilization,high
229,Empires illusoires : les paris perdus de la colonisation /,academic,history,not_applicable,high
230,La Suisse et l'esclavage des Noirs /,academic,history,not_applicable,high
231,De Rousseau à Dunant : la colonisation et l'esclavage vus de Genève /,academic,history,not_applicable,high
232,L'art du fil : dans la création contemporaine /,reference,arts_art_history,not_applicable,high
233,De fil en aiguille : la broderie dans l'art contemporain /,reference,arts_art_history,not_applicable,high
234,Les cahiers d'Esther : histoires de mes 11 ans /,comics,not_applicable,biography_memoir,high
235,Les cahiers d'Esther : histoires de mes 12 ans /,comics,not_applicable,biography_memoir,high
236,Cerveau et silence : [les clés de la créativité et de la sérénité] /,popular_science,biology,not_applicable,high
237,La félicité du loup /,fiction,not_applicable,not_applicable,high
238,Les sources du moi : la formation de l'identité moderne /,academic,philosophy,not_applicable,high
239,Les marchandises émotionnelles : l'authenticité au temps du capitalisme /,non_fiction_general,not_applicable,current_affairs_politics,high
240,Ce que sait la main : la culture de l'artisanat /,academic,sociology,not_applicable,high
241,Chien 51 : roman /,fiction,not_applicable,not_applicable,high
242,Le soleil des Scorta : roman /,fiction,not_applicable,not_applicable,high
243,Le visage de nos colères /,non_fiction_general,not_applicable,personal_development,medium
244,Les morts à l'œuvre /,academic,anthropology_ethnology,not_applicable,high
245,Une autre naissance /,fiction,not_applicable,not_applicable,high
246,Une femme obscure /,fiction,not_applicable,not_applicable,medium
247,L'arbre-monde /,fiction,not_applicable,not_applicable,high
248,Soigner les morts pour guérir les vivants /,non_fiction_general,not_applicable,personal_development,high
249,Vous ; suivi de Poèmes troubles /,fiction,not_applicable,not_applicable,high
250,Développement (im)personnel : le succès d'une imposture /,non_fiction_general,not_applicable,personal_development,high
251,Francesca Woodman /,reference,arts_art_history,not_applicable,high
252,L'opposé de la blancheur : réflexions sur le problème blanc /,non_fiction_general,not_applicable,current_affairs_politics,high
253,Lessons /,fiction,not_applicable,not_applicable,high
254,"De l'hospice au réseau santé : santé publique et systèmes hospitaliers valaisans, XIXe - XXe siècles /",academic,history,not_applicable,high
255,"La dramaturgie : l'art du récit : cinéma, théâtre, opéra, radio, télévision, bande dessinée /",academic,literature_studies,not_applicable,high
256,Capitale de la douleur ; suivi de L'amour la poésie /,fiction,not_applicable,not_applicable,high
257,L'analyse des récits /,academic,literature_studies,not_applicable,high
258,Quantix : la physique quantique et la relativité en BD /,comics,not_applicable,science_technology,high
259,Rendre le monde indisponible /,academic,philosophy,not_applicable,high
260,Les mythes de Platon : anthologie /,reference,philosophy,not_applicable,high
261,Controverses ; et Suasoires /,reference,literature_studies,not_applicable,high
262,Antiquitates rerum divinarum /,reference,religion_theology,not_applicable,high
263,Progymnasmata /,reference,literature_studies,not_applicable,high
264,Controverses ; et Suasoires /,reference,literature_studies,not_applicable,high
265,Les cultes isiaques dans le monde gréco-romain /,academic,history,not_applicable,high
266,Isis : mère des dieux /,academic,history,not_applicable,high
267,Recueil des inscriptions concernant les cultes isiaques (RICIS) /,reference,history,not_applicable,high
268,La fin de la plainte /,non_fiction_general,not_applicable,health_wellness,medium
269,"Oeuvres / Poésies de jeunesse, poésies diverses ... ;",fiction,not_applicable,not_applicable,high
270,Oeuvres poétiques et dramatiques /,fiction,not_applicable,not_applicable,high
271,Oeuvres romanesques complètes /,fiction,not_applicable,not_applicable,high
272,Le problème de l'empathie /,academic,philosophy,not_applicable,high
273,Œuvres complètes /,reference,philosophy,not_applicable,high
274,La religion gnostique : le message du Dieu étranger et les débuts du christianisme /,academic,religion_theology,not_applicable,high
275,Ecrits gnostiques : la bibliothèque de Nag Hammadi /,academic,religion_theology,not_applicable,high
276,L'art d'avoir toujours raison ou Dialectique éristique /,academic,philosophy,not_applicable,high
277,L'obsolescence de l'homme /,academic,philosophy,not_applicable,high
278,Histoire du Japon médiéval : le monde à l'envers /,non_fiction_general,not_applicable,history_civilization,high
279,Le salaire de la destruction : formation et ruine de l'économie nazie /,academic,economics_management,not_applicable,high
280,Comment le peuple juif fut inventé : de la Bible au sionisme /,non_fiction_general,not_applicable,history_civilization,high
281,Je suis Ariel Sharon : roman /,fiction,not_applicable,not_applicable,high
282,L'invention de la tradition /,academic,history,not_applicable,high
283,La vie électrique : histoire et imaginaire (XVIIIe-XXIe siècle) /,academic,history,not_applicable,high
284,La grande chasse aux sorcières en Europe aux débuts des Temps modernes /,academic,history,not_applicable,high
285,Seeing like a state : how certain schemes to improve the human condition have failed /,academic,political_science,not_applicable,high
286,"Thinking, fast and slow /",popular_science,psychology,not_applicable,high
287,Le siècle d'Emma : une famille suisse dans les turbulences du XXe siècle /,comics,not_applicable,biography_memoir,high
288,La nuit de noces : une histoire de l'intimité conjugale /,academic,history,not_applicable,high
289,Le grand vide /,comics,not_applicable,not_applicable,low
290,Techno-féodalisme : critique de l'économie numérique /,non_fiction_general,not_applicable,current_affairs_politics,high
291,Bobigny 1972 /,comics,not_applicable,current_affairs_politics,high
292,"De toutes les nuits, les amants : roman /",fiction,not_applicable,not_applicable,high
293,La confiance créative : tous innovateurs avec le design thinking /,practical,not_applicable,career_business,high
294,Dix petites souris /,children,not_applicable,not_applicable,high
295,Clic Clac Suisse /,children,not_applicable,not_applicable,medium
296,"Morts ou vifs : contribution à une écologie pratique, théorique et sensible des arts vivants /",academic,arts_art_history,not_applicable,high
297,Parable of the talents /,fiction,not_applicable,not_applicable,high
298,Comment bifurquer : les principes de la planification écologique /,non_fiction_general,not_applicable,current_affairs_politics,high
299,Alberto Giacometti : la vie dans le regard /,non_fiction_general,not_applicable,biography_memoir,high
300,Manger intelligent : concilier le goût et la santé /,practical,not_applicable,cooking_food,high
301,"Stress, dépression & troubles du comportement : une nouvelle approche sans produits chimiques /",practical,not_applicable,health_wellness,high
302,Medical medium : la thyroïdie : [comprendre et traiter les troubles de la thyroïde] /,popular_science,medicine_health,not_applicable,high
303,Pourquoi les méduses sont immortelles : et autres secrets de longévité de la nature /,popular_science,biology,not_applicable,high
304,Homo numericus : la civilisation qui vient /,non_fiction_general,not_applicable,current_affairs_politics,high
305,Comment affronter l'adversité? : se relever après la chute /,practical,not_applicable,personal_development,high
306,"L'intelligence du coeur : [travailler confiance en soi, créativité, relations, autonomie] /",practical,not_applicable,personal_development,high
307,Rajeunir ? : agir contre le vieillissement cellulaire /,practical,not_applicable,health_wellness,high
308,L'effondrement (et après) expliqué à nos enfants… et à nos parents /,non_fiction_general,not_applicable,current_affairs_politics,medium
309,Mindhunter : dans la tête d'un profileur /,non_fiction_general,not_applicable,true_crime,high
310,Où est le sens ? : les découvertes sur notre cerveau qui changent l'avenir de notre civilisation /,non_fiction_general,not_applicable,personal_development,medium
311,Tout comprendre (ou presque) sur le climat /,popular_science,earth_sciences,not_applicable,high
312,Tempête dans le bocal : la nouvelle civilisation du poisson rouge /,non_fiction_general,not_applicable,current_affairs_politics,high
313,La fin de l'individu : voyage d'un philosophe au pays de l'intelligence artificielle /,non_fiction_general,not_applicable,science_technology,high
314,La thérapie des schémas en pratique : principes et outils /,academic,psychology,not_applicable,high
315,Hunger games /,fiction,not_applicable,not_applicable,high
316,L'univers de la psychologie /,academic,psychology,not_applicable,high
317,"Parler pour être écouté : développer sa présence, maintenir l'attention, faciliter la compréhension /",practical,not_applicable,personal_development,high
318,Méthodes statistiques en sciences humaines /,academic,interdisciplinary,not_applicable,high
319,Bien dans mon ventre en 32 jours : le plan d'action en 3 étapes contre les troubles digestifs /,practical,not_applicable,health_wellness,high
320,Le livre rouge : Liber novus /,non_fiction_general,not_applicable,personal_development,medium
321,InDesign CC : débutants et initiés /,practical,not_applicable,science_technology,high
322,À l'aube de nouveaux horizons /,popular_science,astronomy_space,not_applicable,high
323,Le mage du Kremlin : roman /,fiction,not_applicable,not_applicable,high
324,"Métamorphose, éveille ta conscience : 33 rencontres essentielles pour être soi /",non_fiction_general,not_applicable,personal_development,high
325,La cuisine populaire japonaise avec Genki /,practical,not_applicable,cooking_food,high
326,2041 : l'odyssée de la médecine : comment l'intelligence artificielle bouleverse la médecine /,popular_science,medicine_health,not_applicable,high
327,La vérité sur le sucre /,popular_science,other,not_applicable,high
328,Une révolution intérieure : renforcer l'estime de soi /,practical,not_applicable,personal_development,high
329,"52 éclats de sagesse : famille, amour, travail, santé, changements de cap, sens de la vie, angoisses face à l'avenir, maladie, deuil, mort, etc. : toutes vos questions existentielles dans un livre plein de réconfort, de références et de conseils /",non_fiction_general,not_applicable,personal_development,high
330,Le grand livre de Rudolf Steiner /,non_fiction_general,not_applicable,spirituality,medium
331,Les gens de Bilbao naissent où ils veulent : roman /,fiction,not_applicable,not_applicable,high
332,Du burn-out au born-out : les 7 étapes vers la renaissance /,practical,not_applicable,personal_development,high
333,Comment rester vivant au travail ? : guide pour sortir du burn-out /,practical,not_applicable,career_business,high
334,Histoire du végétarisme /,non_fiction_general,not_applicable,history_civilization,high
335,"Epuisement professionnel et burnout : concepts, modèles, interventions /",academic,psychology,not_applicable,high
336,"Le bonheur est dans l'assiette : aliments, recettes et connaissances pour manger bon, sain et en conscience /",practical,not_applicable,cooking_food,high
337,Ainsi parlait Zarathoustra /,fiction,not_applicable,not_applicable,high
338,Manuel complet du dessinateur /,practical,not_applicable,crafts_hobbies,high
339,Les 20 grandes questions pour comprendre les arts-thérapies : médecines complémentaires et alternatives /,popular_science,medicine_health,not_applicable,high
340,L'âge d'or de la Perse : l'épopée des Safavides (1501-1722) /,non_fiction_general,not_applicable,history_civilization,high
341,Pourquoi l'Empire ottoman ? : six siècles d'histoire /,non_fiction_general,not_applicable,history_civilization,high
342,Propaganda : comment manipuler l'opinion en démocratie /,non_fiction_general,not_applicable,current_affairs_politics,high
343,Influence & manipulation : [comprendre et maîtriser les mécanismes et les techniques de persuasion] /,non_fiction_general,not_applicable,personal_development,high
344,Psychologie sociale /,academic,psychology,not_applicable,high
345,L'art subtil du nudge : guide pratique pour réduire les biais cognitifs et accélérer le changement /,practical,not_applicable,career_business,high
346,Nudge /,non_fiction_general,not_applicable,personal_development,high
347,Pourquoi croit-on ? : psychologie des croyances /,academic,psychology,not_applicable,high
348,Croiver : pourquoi les croyances ne sont pas ce que l'on croit /,non_fiction_general,not_applicable,current_affairs_politics,medium
349,Bouffées de chaleur : briser le tabou de la ménopause /,non_fiction_general,not_applicable,health_wellness,high
350,Un été avec Jankélévitch /,non_fiction_general,not_applicable,biography_memoir,medium
351,Toumback : percussions corporelles /,practical,not_applicable,crafts_hobbies,medium
352,La créativité : psychologie de la découverte et de l'invention /,academic,psychology,not_applicable,high
353,La souveraineté de la Terre : une leçon africaine sur l'habiter /,academic,anthropology_ethnology,not_applicable,high
354,Histoire de l'art /,reference,arts_art_history,not_applicable,high
355,"Adam et Ève, le paradis, la viande et les légumes /",non_fiction_general,not_applicable,food_drink_culture,high
356,Les visionnaires : 1933-1943 /,non_fiction_general,not_applicable,biography_memoir,high
357,La troisième voie du vivant /,popular_science,biology,nature_animals,high
358,Histoire du poil /,non_fiction_general,not_applicable,history_civilization,high
359,700 tests psychotechniques et de raisonnement logique : méthode et exercices en 47 fiches : Concours 2022-2023 /,practical,not_applicable,career_business,high
360,Biologie humaine : principes d'anatomie et de physiologie /,academic,medicine_health,not_applicable,high
